idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum,year
20180313007,켈리,SK,1,40,L,3,3,2,2,67,4,0,16,19,2018
20180313007,채병용,SK,0,10,L,1,0,2,2,27,4,1,7,7,2018
20180313007,문승원,SK,0,10,L,0,0,0,0,10,0,0,3,3,2018
20180313007,김태훈,SK,0,20,W,1,0,0,0,24,1,0,7,7,2018
20180313007,박정배,SK,0,10,L,3,0,0,0,21,2,0,5,5,2018
20180313005,윌슨,LG,1,50,W,5,0,1,1,59,3,1,17,17,2018
20180313005,이우찬,LG,0,10,H,0,0,0,0,16,1,0,3,3,2018
20180313005,신정락,LG,0,02,L,1,0,2,2,25,3,0,5,5,2018
20180313005,임정우,LG,0,11,H,3,1,0,0,26,1,0,4,5,2018
20180313005,김지용,LG,0,10,L,1,0,0,0,14,0,0,3,3,2018
20180313003,양창섭,삼성,1,40,L,3,4,1,1,79,3,0,15,19,2018
20180313003,황수범,삼성,0,10,L,1,1,0,0,14,0,0,2,3,2018
20180313003,권오준,삼성,0,10,L,1,0,1,1,16,2,0,5,5,2018
20180313003,한기주,삼성,0,10,L,1,0,0,0,10,0,0,3,3,2018
20180313003,최충연,삼성,0,10,L,2,2,1,0,31,1,0,5,7,2018
20180313001,장원준,두산,1,40,L,0,1,1,1,60,1,0,12,13,2018
20180313001,린드블럼,두산,0,40,L,3,2,4,4,70,7,0,18,21,2018
20180313008,최원태,넥센,1,50,L,1,2,2,2,73,5,1,19,21,2018
20180313008,김선기,넥센,0,10,L,3,1,2,2,26,1,1,4,5,2018
20180313008,이보근,넥센,0,10,L,0,0,0,0,15,1,0,4,4,2018
20180313008,조상우,넥센,0,10,W,0,0,0,0,8,0,0,3,3,2018
20180313008,윤영삼,넥센,0,10,L,1,0,0,0,11,1,0,4,4,2018
20180314007,김광현,SK,1,50,W,4,1,1,0,47,2,0,16,17,2018
20180314007,전유수,SK,0,10,H,2,0,0,0,13,0,0,3,3,2018
20180314007,문광은,SK,0,10,L,1,1,0,0,19,0,0,3,4,2018
20180314007,신재웅,SK,0,10,L,1,0,0,0,10,0,0,3,3,2018
20180314007,박희수,SK,0,10,L,2,0,0,0,18,2,0,5,5,2018
20180314005,임지섭,LG,1,22,W,2,4,2,2,59,2,0,10,14,2018
20180314005,여건욱,LG,0,11,H,0,1,0,0,24,2,0,5,6,2018
20180314005,최동환,LG,0,20,H,1,0,0,0,19,1,0,6,6,2018
20180314005,윤지웅,LG,0,10,H,0,0,0,0,12,1,0,4,4,2018
20180314005,고우석,LG,0,02,H,0,1,0,0,9,0,0,2,3,2018
20180314005,최성훈,LG,0,01,H,1,0,0,0,7,0,0,1,1,2018
20180314005,정찬헌,LG,0,10,L,1,0,0,0,6,1,0,3,3,2018
20180314003,보니야,삼성,1,50,L,4,1,7,7,93,10,2,23,24,2018
20180314003,김기태,삼성,0,10,L,1,0,1,1,17,3,0,6,6,2018
20180314003,박근홍,삼성,0,10,L,1,0,1,1,15,2,1,5,5,2018
20180314003,김승현,삼성,0,10,L,0,0,0,0,13,2,0,4,4,2018
20180314001,후랭코프,두산,1,32,L,1,4,1,1,63,3,0,14,18,2018
20180314001,유재유,두산,0,01,L,0,0,0,0,5,0,0,1,1,2018
20180314001,유희관,두산,0,30,W,2,0,0,0,42,1,0,10,10,2018
20180314001,이영하,두산,0,10,L,2,1,0,0,14,0,0,3,4,2018
20180314001,이현승,두산,0,10,L,0,2,1,1,20,1,0,3,5,2018
20180314008,브리검,넥센,1,50,L,4,2,5,5,80,5,1,19,21,2018
20180314008,하영민,넥센,0,10,L,0,0,2,2,13,2,1,4,5,2018
20180314008,김상수,넥센,0,01,L,0,2,5,5,26,3,0,4,6,2018
20180314008,이승호,넥센,0,02,L,0,1,1,1,17,3,0,4,5,2018
20180314008,조상우,넥센,0,10,L,0,2,0,0,19,1,0,4,6,2018
20180316005,임찬규,LG,1,40,L,3,2,2,2,61,4,1,15,17,2018
20180316005,김대현,LG,0,20,L,3,1,0,0,33,1,0,7,8,2018
20180316005,임정우,LG,0,10,L,0,0,0,0,7,0,0,3,3,2018
20180316005,최성훈,LG,0,02,L,0,0,0,0,8,0,0,2,2,2018
20180316005,신정락,LG,0,01,L,0,1,0,0,9,0,0,1,2,2018
20180316001,곽빈,두산,1,30,L,2,2,3,3,55,5,0,13,15,2018
20180316001,박치국,두산,0,20,L,1,0,0,0,21,2,0,8,8,2018
20180316001,함덕주,두산,0,10,L,1,0,0,0,20,1,0,4,4,2018
20180316001,홍상삼,두산,0,01,L,1,3,4,4,27,2,0,4,7,2018
20180316001,현도훈,두산,0,02,L,0,0,0,0,6,0,0,2,2,2018
20180316001,김강률,두산,0,10,L,2,2,2,2,32,3,0,6,8,2018
20180316007,산체스,SK,1,40,L,9,0,1,0,66,3,0,16,16,2018
20180316007,임준혁,SK,0,10,W,0,0,0,0,17,0,0,3,3,2018
20180316007,전유수,SK,0,10,H,1,0,0,0,13,1,0,4,4,2018
20180316007,김주한,SK,0,10,L,1,1,0,0,16,0,0,3,4,2018
20180316007,정영일,SK,0,10,L,1,0,0,0,9,0,0,3,3,2018
20180316007,서진용,SK,0,10,L,1,0,0,0,10,1,0,4,4,2018
20180316008,한현희,넥센,1,30,L,3,1,1,1,45,2,0,11,12,2018
