idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum,year
20210321010,소형준,KT,1,40,W,3,1,2,2,65,6,0,18,19,2021
20210321010,고영표,KT,0,40,H,5,0,0,0,49,3,0,14,14,2021
20210321010,박시영,KT,0,10,L,1,0,0,0,9,0,0,3,3,2021
20210321008,안우진,키움,1,50,L,4,2,3,2,64,5,2,18,20,2021
20210321008,장재영,키움,0,02,L,2,3,3,1,33,2,0,5,8,2021
20210321008,김성진,키움,0,11,L,0,0,0,0,10,0,0,4,4,2021
20210321008,김태훈,키움,0,10,L,1,1,0,0,17,1,0,4,5,2021
20210321006,김현수,KIA,1,32,L,3,3,1,1,60,0,0,11,14,2021
20210321006,장민기,KIA,0,02,L,1,3,6,6,41,4,0,6,9,2021
20210321006,변시원,KIA,0,02,L,0,0,0,0,14,1,0,3,3,2021
20210321006,장현식,KIA,0,30,L,0,0,3,3,34,3,1,12,12,2021
20210321011,문승원,SSG,1,20,L,2,1,7,7,47,8,3,12,14,2021
20210321011,이채호,SSG,0,00,L,0,2,2,2,15,1,0,1,3,2021
20210321011,김택형,SSG,0,10,L,0,1,0,0,15,0,0,2,3,2021
20210321011,조이현,SSG,0,10,L,2,0,0,0,18,1,0,4,4,2021
20210321011,이건욱,SSG,0,30,L,6,3,2,2,68,3,0,12,15,2021
20210321011,김주온,SSG,0,10,L,1,0,0,0,17,1,0,4,4,2021
20210321005,켈리,LG,1,32,L,1,4,0,0,69,3,0,12,16,2021
20210321005,김윤식,LG,0,40,L,0,3,2,2,64,5,0,16,19,2021
20210321005,진해수,LG,0,01,L,1,1,0,0,11,0,0,1,2,2021
20210321005,이정용,LG,0,01,L,1,0,1,1,8,1,1,2,2,2021
20210322004,김민우,한화,1,32,W,1,1,4,2,69,6,0,18,20,2021
20210322004,김범수,한화,0,11,H,0,1,0,0,28,2,0,5,6,2021
20210322004,김진욱,한화,0,10,H,0,0,0,0,8,1,0,4,4,2021
20210322004,김종수,한화,0,02,L,0,0,0,0,8,0,0,2,2,2021
20210322004,서균,한화,0,10,L,0,0,1,1,13,2,0,4,4,2021
20210322004,윤대경,한화,0,11,L,1,1,0,0,23,1,0,5,6,2021
20210322011,오원석,SSG,1,30,L,4,2,2,2,64,4,0,13,15,2021
20210322011,최민준,SSG,0,10,L,0,0,0,0,11,0,0,3,3,2021
20210322011,이태양,SSG,0,10,L,1,1,1,1,22,3,0,4,5,2021
20210322011,김태훈,SSG,0,10,L,2,1,2,2,25,2,0,6,7,2021
20210322011,김상수,SSG,0,10,L,2,0,5,5,26,6,0,9,9,2021
20210322011,서진용,SSG,0,10,L,0,0,0,0,6,1,0,4,4,2021
20210322006,브룩스,KIA,1,42,W,5,3,0,0,72,1,0,14,17,2021
20210322006,김현준,KIA,0,01,H,0,0,0,0,5,0,0,1,1,2021
20210322006,박준표,KIA,0,10,L,1,0,0,0,5,0,0,3,3,2021
20210322006,김재열,KIA,0,10,L,1,1,0,0,14,0,0,2,3,2021
20210322006,고영창,KIA,0,10,L,0,0,0,0,12,1,0,4,4,2021
20210322006,이승재,KIA,0,10,L,0,0,0,0,6,0,0,3,3,2021
20210322005,배재준,LG,1,20,L,0,1,1,1,36,3,0,8,10,2021
20210322005,류원석,LG,0,30,L,4,3,5,5,58,4,1,13,16,2021
20210322005,이상규,LG,0,20,L,0,2,3,3,33,3,1,8,10,2021
20210322005,최성훈,LG,0,10,L,0,0,0,0,7,1,0,3,3,2021
20210322008,요키시,키움,1,32,L,2,0,2,1,70,6,0,16,16,2021
20210322008,김동혁,키움,0,01,H,0,0,0,0,2,0,0,1,1,2021
20210322008,양현,키움,0,10,H,0,0,1,0,19,1,0,4,5,2021
20210322008,김준형,키움,0,10,H,0,1,0,0,12,0,0,3,4,2021
20210322008,김성민,키움,0,10,H,2,0,0,0,15,0,0,3,3,2021
20210322008,김선기,키움,0,10,L,1,1,2,2,27,3,0,5,6,2021
20210323004,김도현,한화,1,32,L,1,1,1,1,63,2,0,14,15,2021
20210323004,송윤준,한화,0,01,L,0,0,0,0,3,0,0,1,1,2021
20210323004,박성웅,한화,0,12,W,0,1,2,2,45,4,0,7,9,2021
20210323004,윤호솔,한화,0,11,H,0,1,0,0,23,1,0,4,5,2021
20210323004,주현상,한화,0,10,H,0,0,0,0,14,1,0,4,4,2021
20210323004,장민재,한화,0,10,L,0,0,0,0,13,0,0,3,3,2021
20210323011,정수민,SSG,1,40,L,2,1,0,0,53,2,0,13,14,2021
20210323011,김택형,SSG,0,10,H,0,1,0,0,16,1,0,3,4,2021
20210323011,김세현,SSG,0,10,H,1,0,0,0,13,1,0,4,4,2021
20210323011,김주온,SSG,0,00,L,0,1,1,1,12,1,0,1,2,2021
20210323011,조이현,SSG,0,10,H,1,0,0,0,18,1,0,4,4,2021
20210323011,최민준,SSG,0,10,L,0,1,2,2,21,2,0,5,6,2021
20210323008,스미스,키움,1,40,L,4,3,2,1,70,3,0,15,18,2021
20210323008,오주원,키움,0,10,L,0,0,0,0,11,0,0,3,3,2021
20210323008,장재영,키움,0,10,L,1,1,0,0,13,0,0,3,4,2021
20210323008,김재웅,키움,0,10,H,1,1,0,0,22,1,0,4,5,2021
20210323008,김태훈,키움,0,10,L,0,0,1,1,7,1,0,4,4,2021
20210323008,김성진,키움,0,10,L,0,3,0,0,14,0,0,2,6,2021
20210323006,멩덴,KIA,1,42,W,2,2,1,0,71,4,0,18,20,2021
20210323006,이준영,KIA,0,02,L,1,1,0,0,14,0,0,2,3,2021
20210323006,정해영,KIA,0,12,L,0,0,0,0,12,0,0,5,5,2021
20210323006,고영창,KIA,0,10,L,1,0,0,0,11,0,0,3,3,2021
20210323006,박준표,KIA,0,10,L,0,0,0,0,8,0,0,3,3,2021
20210323005,남호,LG,1,20,L,2,1,0,0,46,3,0,9,10,2021
20210323005,송은범,LG,0,12,H,2,0,2,2,34,3,0,7,8,2021
20210323005,김대유,LG,0,01,H,0,0,0,0,10,1,0,2,2,2021
20210323005,진해수,LG,0,10,L,3,0,2,2,37,4,0,7,7,2021
20210323005,최동환,LG,0,10,L,1,0,0,0,11,1,0,3,3,2021
20210323005,정우영,LG,0,10,L,1,0,0,0,13,0,0,3,3,2021
20210323005,고우석,LG,0,10,L,1,0,0,0,13,1,0,4,4,2021
20210323005,이정용,LG,0,10,L,2,0,0,0,20,2,0,5,5,2021
20210325005,수아레즈,LG,1,30,W,2,1,0,0,33,1,0,9,10,2021
20210325005,고효준,LG,0,12,H,1,1,0,0,26,3,0,7,8,2021
20210325005,김대유,LG,0,11,H,1,0,0,0,11,0,0,4,4,2021
20210325005,최성훈,LG,0,10,L,0,2,0,0,18,0,0,2,4,2021
20210325005,임준형,LG,0,01,L,0,1,2,2,23,3,1,4,5,2021
20210325005,최동환,LG,0,02,H,1,0,0,0,14,1,0,3,3,2021
20210325005,이상규,LG,0,10,L,0,1,1,0,24,1,0,5,6,2021
20210325003,원태인,삼성,1,50,W,3,3,2,1,83,3,0,18,21,2021
20210325003,최지광,삼성,0,10,H,1,1,0,0,19,1,0,3,4,2021
20210325003,이상민,삼성,0,10,H,1,0,0,0,22,2,0,5,5,2021
20210325003,이승현,삼성,0,10,H,0,0,1,1,18,2,1,5,5,2021
20210325003,심창민,삼성,0,10,L,1,0,0,0,9,0,0,3,3,2021
20210325008,최원태,키움,1,50,W,3,3,1,1,80,3,0,19,22,2021
20210325008,양현,키움,0,10,L,1,0,1,1,27,3,0,6,6,2021
20210325008,김정인,키움,0,10,L,1,0,0,0,11,0,0,4,4,2021
20210325008,김성민,키움,0,10,L,2,0,2,2,25,2,1,5,5,2021
20210325008,김선기,키움,0,10,L,0,1,0,0,15,1,0,4,5,2021
20210325004,문동욱,한화,1,31,L,1,2,7,7,61,8,0,16,19,2021
20210325004,임준섭,한화,0,12,L,3,1,2,1,46,3,1,9,10,2021
20210325004,김진영,한화,0,10,L,1,0,0,0,13,0,0,3,3,2021
20210325004,강재민,한화,0,10,L,0,2,3,3,24,2,0,5,7,2021
20210325004,정우람,한화,0,10,L,0,1,0,0,14,0,0,3,4,2021
20210325002,이승헌,롯데,1,40,L,0,3,0,0,55,2,0,14,17,2021
20210325002,김대우,롯데,0,10,L,0,0,0,0,5,0,0,3,3,2021
20210325002,이인복,롯데,0,10,L,0,0,0,0,5,0,0,3,3,2021
20210325002,박진형,롯데,0,10,L,1,0,0,0,6,0,0,3,3,2021
20210325002,최준용,롯데,0,10,W,1,0,1,1,18,2,0,3,4,2021
20210325002,김원중,롯데,0,10,L,2,0,0,0,23,2,0,5,5,2021
20210326001,이영하,두산,1,31,L,1,2,2,2,66,6,1,16,19,2021
20210326001,홍건희,두산,0,12,W,1,1,0,0,27,0,0,4,5,2021
20210326001,박치국,두산,0,11,H,0,1,0,0,19,1,0,5,6,2021
20210326001,김강률,두산,0,11,L,2,0,0,0,19,2,0,6,6,2021
20210326001,이승진,두산,0,11,L,1,2,1,1,22,1,0,4,7,2021
20210326003,양창섭,삼성,1,30,L,1,2,3,3,59,3,1,11,13,2021
20210326003,임현준,삼성,0,02,L,1,0,0,0,9,0,0,2,2,2021
20210326003,김대우,삼성,0,21,L,2,0,0,0,24,1,0,8,8,2021
20210326003,홍정우,삼성,0,10,L,1,0,0,0,13,2,0,5,5,2021
20210326003,장필준,삼성,0,10,L,1,1,2,2,22,2,0,5,6,2021
20210326003,김무신,삼성,0,10,L,1,2,5,5,30,4,0,7,9,2021
20210326008,이승호,키움,1,30,L,2,2,3,3,59,4,0,13,15,2021
20210326008,김동혁,키움,0,20,L,1,0,2,2,38,6,0,10,10,2021
20210326008,김태훈,키움,0,10,L,1,2,0,0,15,0,0,2,4,2021
20210326008,장재영,키움,0,10,L,1,1,2,2,31,3,0,5,7,2021
20210326008,박주성,키움,0,10,L,0,0,0,0,8,0,0,3,3,2021
20210326008,박관진,키움,0,10,L,2,2,0,0,23,0,0,3,5,2021
20210326004,카펜터,한화,1,50,W,8,0,0,0,76,2,0,15,15,2021
20210326004,김진욱,한화,0,02,L,0,2,1,1,17,1,0,3,5,2021
20210326004,김범수,한화,0,10,H,2,2,0,0,23,0,0,3,5,2021
20210326004,김종수,한화,0,11,L,1,0,0,0,19,0,0,4,4,2021
20210326004,윤대경,한화,0,01,L,0,4,4,4,36,0,0,0,5,2021
20210326004,서균,한화,0,00,L,0,2,0,0,10,0,0,0,2,2021
20210326004,장민재,한화,0,02,L,1,1,0,0,14,0,0,2,3,2021
20210326002,김진욱,롯데,1,30,L,2,3,2,0,65,2,0,12,15,2021
20210326002,서준원,롯데,0,01,L,0,0,2,2,13,2,0,3,3,2021
20210326002,김유영,롯데,0,02,L,0,0,2,2,22,4,0,6,6,2021
20210326002,김대우,롯데,0,10,L,1,0,0,0,13,0,0,3,3,2021
20210326002,진명호,롯데,0,01,L,1,2,3,3,24,2,0,3,5,2021
20210326002,이인복,롯데,0,02,L,1,0,0,0,9,1,0,3,3,2021
20210326002,김건국,롯데,0,20,L,0,0,0,0,20,0,0,6,6,2021
20210328003,라이블리,삼성,1,40,L,6,3,5,5,88,7,0,19,22,2021
20210328003,허윤동,삼성,0,10,L,0,0,1,1,22,2,1,5,5,2021
20210328003,뷰캐넌,삼성,0,30,L,2,0,0,0,42,1,0,10,10,2021
20210328009,송명기,NC,1,32,L,4,5,6,6,83,2,1,13,18,2021
20210328009,손정욱,NC,0,01,L,0,0,0,0,9,1,0,2,2,2021
20210328009,강동연,NC,0,10,L,1,1,1,1,19,2,0,4,6,2021
20210328009,홍성민,NC,0,01,L,0,0,4,4,19,5,0,5,6,2021
20210328009,류진욱,NC,0,02,L,1,0,0,0,6,0,0,2,2,2021
20210328009,임창민,NC,0,10,L,1,0,0,0,23,1,0,4,4,2021
20210328009,김진성,NC,0,02,L,0,0,3,3,27,3,2,5,5,2021
20210328009,김태현,NC,0,01,L,0,0,0,0,3,0,0,1,1,2021
20210328008,요키시,키움,1,50,W,1,1,1,1,56,1,0,15,17,2021
20210328008,김정인,키움,0,30,H,2,2,0,0,64,4,0,12,14,2021
20210328008,장재영,키움,0,10,L,2,1,0,0,21,1,0,4,5,2021
20210328002,프랑코,롯데,1,50,L,6,0,0,0,65,6,0,19,19,2021
20210328002,박진형,롯데,0,10,L,1,0,2,0,14,1,1,5,5,2021
20210328002,구승민,롯데,0,10,L,0,1,0,0,16,0,0,3,4,2021
20210328002,최준용,롯데,0,10,L,3,1,0,0,19,1,0,4,5,2021
20210329011,르위키,SSG,1,40,L,2,2,2,2,71,4,0,14,16,2021
20210329011,이건욱,SSG,0,10,L,2,0,0,0,13,2,0,4,4,2021
20210329011,이태양,SSG,0,10,L,0,0,0,0,12,0,0,3,3,2021
20210329011,김태훈,SSG,0,10,L,0,0,0,0,11,0,0,3,3,2021
20210329011,김상수,SSG,0,10,L,0,0,0,0,8,0,0,3,3,2021
20210330011,박종훈,SSG,1,40,W,2,2,0,0,32,1,0,13,15,2021
20210330011,오원석,SSG,0,10,H,1,0,0,0,19,0,0,4,4,2021
20210330011,김택형,SSG,0,10,H,0,0,0,0,16,1,0,3,3,2021
20210330011,조이현,SSG,0,10,H,1,0,0,0,12,0,0,3,3,2021
20210330011,김세현,SSG,0,10,H,0,0,0,0,11,0,0,3,3,2021
20210330011,서진용,SSG,0,02,L,1,3,2,2,24,1,0,3,6,2021
20210330011,최민준,SSG,0,01,L,1,1,0,0,11,0,0,1,2,2021
20210330001,최원준,두산,1,20,W,3,0,0,0,30,0,0,6,6,2021
20210330001,김민규,두산,0,21,H,2,1,2,2,56,3,0,11,12,2021
20210330001,남호,두산,0,10,H,0,0,0,0,13,1,0,3,3,2021
20210330001,홍건희,두산,0,12,H,0,0,0,0,18,0,0,5,5,2021
20210330001,이승진,두산,0,10,L,2,0,0,0,14,1,0,4,4,2021
20210330001,김강률,두산,0,10,L,0,2,3,2,29,3,0,6,8,2021
20210330010,쿠에바스,KT,1,00,L,0,0,0,0,0,0,0,0,0,2021
20210330010,안영명,KT,0,10,H,0,1,1,1,24,2,0,5,6,2021
20210330010,하준호,KT,0,10,H,0,1,0,0,14,0,0,3,4,2021
20210330010,데스파이네,KT,0,51,W,3,1,2,2,77,5,0,19,20,2021
20210330010,조현우,KT,0,00,L,0,0,0,0,9,2,0,2,2,2021
20210330010,주권,KT,0,02,H,0,1,0,0,13,0,0,2,3,2021
20210330010,김재윤,KT,0,10,L,1,0,0,0,12,0,0,3,3,2021
20210330008,스미스,키움,1,40,L,3,1,5,5,68,6,1,16,18,2021
20210330008,김성민,키움,0,10,L,1,0,0,0,11,0,0,3,3,2021
20210330008,양현,키움,0,10,L,1,1,1,0,25,1,0,4,5,2021
20210330008,김태훈,키움,0,02,L,0,0,0,0,4,0,0,2,2,2021
20210330008,장재영,키움,0,01,L,1,0,0,0,4,0,0,1,1,2021
20210330008,오주원,키움,0,02,L,2,3,3,3,29,0,0,2,5,2021
20210330008,김선기,키움,0,01,L,0,2,0,0,15,1,0,2,4,2021
20210330009,김영규,NC,1,20,L,3,1,1,1,41,3,0,8,10,2021
20210330009,류진욱,NC,0,10,H,0,0,0,0,7,1,0,3,3,2021
20210330009,김건태,NC,0,10,H,0,1,0,0,16,1,0,4,5,2021
20210330009,이승헌,NC,0,02,H,0,0,0,0,6,0,0,2,2,2021
20210330009,홍성민,NC,0,01,H,0,0,0,0,1,0,0,1,1,2021
20210330009,문경찬,NC,0,10,H,0,0,0,0,9,1,0,4,4,2021
20210330009,김진성,NC,0,02,H,1,1,0,0,12,0,0,2,3,2021
20210330009,임정호,NC,0,01,H,1,0,0,0,9,1,0,2,2,2021
20210330009,임창민,NC,0,10,L,1,1,2,2,17,1,1,3,4,2021
20210330009,원종현,NC,0,10,L,1,0,0,0,17,1,0,4,4,2021
20210403003,뷰캐넌,삼성,1,52,L,8,3,5,4,96,7,0,24,27,2021
20210403003,임현준,삼성,0,01,L,0,0,0,0,6,0,0,1,1,2021
20210403003,장필준,삼성,0,10,L,0,1,1,1,24,1,0,4,5,2021
20210403003,우규민,삼성,0,10,L,0,0,0,0,10,0,0,3,3,2021
20210404006,브룩스,KIA,1,71,L,2,0,2,2,92,7,0,27,28,2021
20210404006,이준영,KIA,0,00,L,0,1,1,1,8,0,0,0,1,2021
