idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20160308003,삼성,1,5,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,9,1,8,2016,3,8,1,NC,삼성,0,마산,738,13:00,16:24,3:24
20160308009,NC,-1,0,1,0,1,0,1,0,0,0,-,-,-,-,-,-,-,-,-,3,7,0,6,2016,3,8,1,NC,삼성,0,마산,738,13:00,16:24,3:24
20160308001,두산,0,0,0,0,0,1,3,0,1,0,-,-,-,-,-,-,-,-,-,5,10,2,7,2016,3,8,1,KT,두산,0,수원,2500,12:58,16:14,3:16
20160308010,KT,0,2,0,1,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,11,1,4,2016,3,8,1,KT,두산,0,수원,2500,12:58,16:14,3:16
20160308008,넥센,-1,1,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,2,7,0,4,2016,3,8,1,한화,넥센,0,대전,2000,12:59,15:57,2:58
20160308004,한화,1,0,0,4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,4,4,1,3,2016,3,8,1,한화,넥센,0,대전,2000,12:59,15:57,2:58
20160308007,SK,0,0,0,0,0,4,0,1,1,0,-,-,-,-,-,-,-,-,-,6,9,0,1,2016,3,8,1,롯데,SK,0,울산,1000,13:00,15:57,2:57
20160308002,롯데,0,0,2,0,0,0,1,0,0,3,-,-,-,-,-,-,-,-,-,6,9,0,6,2016,3,8,1,롯데,SK,0,울산,1000,13:00,15:57,2:57
20160309003,삼성,1,0,6,0,4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,10,12,0,3,2016,3,9,2,NC,삼성,0,마산,825,13:00,16:08,3:08
20160309009,NC,-1,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,7,2016,3,9,2,NC,삼성,0,마산,825,13:00,16:08,3:08
