idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum,year
20170314008,밴헤켄,넥센,1,40,L,2,0,0,0,48,2,0,12,12,2017
20170314008,김윤환,넥센,0,20,L,0,1,2,2,28,1,1,7,8,2017
20170314008,김성택,넥센,0,10,L,0,0,0,0,13,1,0,4,4,2017
20170314008,김홍빈,넥센,0,10,L,3,1,0,0,26,1,0,4,5,2017
20170314008,김세현,넥센,0,10,L,0,0,0,0,16,0,0,3,3,2017
20170314007,다이아몬드,SK,1,40,L,2,2,1,0,61,3,0,15,17,2017
20170314007,임준혁,SK,0,20,H,4,1,0,0,30,1,0,7,8,2017
20170314007,신재웅,SK,0,10,H,2,0,0,0,15,1,0,4,4,2017
20170314007,채병용,SK,0,10,W,1,0,1,1,14,2,0,4,4,2017
20170314007,서진용,SK,0,10,L,0,2,0,0,26,0,0,2,4,2017
20170314010,로치,KT,1,50,W,1,1,1,1,72,6,0,18,20,2017
20170314010,최원재,KT,0,10,L,2,0,0,0,20,1,0,4,4,2017
20170314010,이창재,KT,0,10,L,3,1,0,0,15,0,0,3,4,2017
20170314010,류희운,KT,0,10,L,2,1,0,0,23,0,0,3,4,2017
20170314010,조무근,KT,0,10,L,0,0,0,0,8,0,0,3,3,2017
20170314001,니퍼트,두산,1,30,L,4,0,5,1,52,5,1,15,15,2017
20170314001,고봉재,두산,0,20,L,0,1,0,0,17,0,0,5,6,2017
20170314001,이현호,두산,0,10,L,2,0,2,2,17,2,2,5,5,2017
20170314001,김강률,두산,0,10,L,0,0,0,0,10,0,0,3,3,2017
20170314001,조승수,두산,0,10,L,1,0,0,0,14,0,0,3,3,2017
20170314005,허프,LG,1,40,L,4,0,1,1,55,4,1,15,15,2017
20170314005,임찬규,LG,0,10,L,0,0,0,0,8,0,0,3,3,2017
20170314005,고우석,LG,0,10,L,2,2,2,2,19,1,0,4,6,2017
20170314005,윤지웅,LG,0,02,L,0,0,3,3,14,3,0,5,5,2017
20170314005,정찬헌,LG,0,02,H,1,0,1,1,28,4,0,7,7,2017
20170314005,김지용,LG,0,12,L,3,1,2,0,34,1,0,7,8,2017
20170315008,오설리반,넥센,1,40,L,3,1,1,0,53,2,0,15,16,2017
20170315008,금민철,넥센,0,20,L,1,0,0,0,35,2,0,8,8,2017
20170315008,박주현,넥센,0,10,L,1,0,0,0,18,2,0,5,5,2017
20170315008,박정준,넥센,0,10,L,0,0,0,0,9,1,0,4,4,2017
20170315008,이보근,넥센,0,10,L,0,0,0,0,15,0,0,3,3,2017
20170315007,김주한,SK,1,21,L,3,1,4,4,55,7,0,14,15,2017
20170315007,전유수,SK,0,12,L,1,1,0,0,34,2,0,5,6,2017
20170315007,문광은,SK,0,30,L,2,0,1,1,36,2,0,11,11,2017
20170315007,김찬호,SK,0,10,L,1,0,2,2,16,2,1,5,5,2017
20170315010,정대현,KT,1,50,W,1,1,1,1,69,3,0,17,18,2017
20170315010,이상화,KT,0,20,H,4,0,0,0,32,2,0,8,8,2017
20170315010,장시환,KT,0,10,H,1,0,1,1,17,2,0,5,5,2017
20170315010,김재윤,KT,0,10,L,2,0,0,0,12,0,0,3,3,2017
20170315001,유희관,두산,1,30,L,4,0,1,1,48,5,0,14,14,2017
20170315001,박치국,두산,0,10,L,0,2,1,1,23,3,0,5,7,2017
20170315001,장민익,두산,0,10,W,1,0,0,0,15,0,0,3,3,2017
20170315001,김승회,두산,0,10,H,1,0,0,0,12,1,0,4,4,2017
20170315001,홍상삼,두산,0,10,H,2,0,0,0,12,0,0,3,3,2017
20170315001,김성배,두산,0,10,H,1,0,0,0,10,0,0,3,3,2017
20170315001,이태오,두산,0,00,L,0,2,0,0,12,0,0,0,2,2017
20170315001,이현승,두산,0,10,L,0,0,0,0,9,0,0,3,3,2017
20170315005,소사,LG,1,40,W,7,1,1,1,55,2,1,13,14,2017
20170315005,김대현,LG,0,10,L,0,0,1,1,14,1,0,3,4,2017
20170315005,최성훈,LG,0,10,H,1,0,0,0,9,0,0,3,3,2017
20170315005,이동현,LG,0,10,H,2,0,0,0,12,0,0,3,3,2017
20170315005,진해수,LG,0,02,L,0,1,1,0,23,0,0,4,5,2017
20170315005,신정락,LG,0,11,L,1,1,2,2,29,3,0,7,8,2017
20170316007,문승원,SK,1,31,L,1,1,2,2,58,5,2,15,16,2017
20170316007,임치영,SK,0,02,L,1,0,0,0,11,1,0,3,3,2017
20170316007,신재웅,SK,0,01,L,0,2,3,3,21,1,0,2,4,2017
20170316007,오수호,SK,0,02,L,0,0,0,0,12,1,0,2,2,2017
