idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum,year
20160308003,정인욱,삼성,1,40,W,2,2,2,2,56,2,2,13,15,2016
20160308003,권오준,삼성,0,10,H,0,0,0,0,13,1,0,4,4,2016
20160308003,백정현,삼성,0,10,H,0,1,1,1,23,3,0,5,6,2016
20160308003,최충연,삼성,0,02,H,0,2,0,0,21,0,0,2,4,2016
20160308003,박근홍,삼성,0,10,H,2,1,0,0,20,0,0,3,4,2016
20160308003,정광운,삼성,0,01,H,0,0,0,0,2,0,0,1,1,2016
20160308003,김동호,삼성,0,10,L,1,0,0,0,11,1,0,4,4,2016
20160308001,노경은,두산,1,30,L,1,1,3,3,52,5,2,13,14,2016
20160308001,장원준,두산,0,20,L,2,0,2,1,32,3,0,9,9,2016
20160308001,안규영,두산,0,20,L,0,1,0,0,25,2,0,7,8,2016
20160308001,진야곱,두산,0,20,L,2,2,0,0,37,1,0,6,8,2016
20160308008,김건태,넥센,1,21,L,1,1,4,4,55,4,0,11,12,2016
20160308008,신재영,넥센,0,12,L,1,0,0,0,18,0,0,4,5,2016
20160308008,황덕균,넥센,0,10,L,1,1,0,0,18,0,0,3,4,2016
20160308008,정회찬,넥센,0,10,L,1,0,0,0,16,0,0,3,3,2016
20160308008,마정길,넥센,0,10,L,1,1,0,0,10,0,0,3,4,2016
20160308008,오주원,넥센,0,10,L,1,0,0,0,11,0,0,3,3,2016
20160308007,문광은,SK,1,40,L,3,2,2,2,68,4,0,14,16,2016
20160308007,채병용,SK,0,10,H,1,0,0,0,14,0,0,3,3,2016
20160308007,이정담,SK,0,10,H,0,1,1,1,14,2,0,3,5,2016
20160308007,정영일,SK,0,10,H,2,0,0,0,21,2,0,5,5,2016
20160308007,전유수,SK,0,10,H,1,0,0,0,12,0,0,3,3,2016
20160308007,김주한,SK,0,10,L,1,3,3,3,33,1,0,3,7,2016
20160309003,이케빈,삼성,1,30,W,1,5,1,1,63,2,0,11,16,2016
20160309003,임대한,삼성,0,20,L,1,0,0,0,24,0,0,6,6,2016
20160309003,임현준,삼성,0,10,L,1,1,0,0,15,0,0,3,4,2016
20160309003,김현우,삼성,0,10,L,1,1,0,0,14,0,0,2,3,2016
20160309003,조현근,삼성,0,10,L,0,0,0,0,14,1,0,4,4,2016
20160309003,김기태,삼성,0,10,L,1,0,0,0,20,0,0,3,3,2016
20160309001,허준혁,두산,1,32,L,1,3,1,1,67,5,0,13,17,2016
20160309001,조승수,두산,0,01,L,0,1,0,0,14,1,0,2,3,2016
20160309001,이현호,두산,0,20,L,1,1,0,0,36,0,0,6,7,2016
20160309001,채원후,두산,0,10,L,0,1,1,1,21,1,0,3,4,2016
20160309001,함덕주,두산,0,10,W,1,1,0,0,13,0,0,2,3,2016
20160309001,이현승,두산,0,10,L,0,0,0,0,7,0,0,3,3,2016
