idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum,year
20090404004,류현진,한화,1,51,W,6,4,2,2,105,4,0,19,24,2009
20090404004,마정길,한화,0,02,H,1,0,0,0,14,0,0,2,2,2009
20090404004,송진우,한화,0,10,H,0,0,0,0,13,0,0,3,3,2009
20090404004,윤규진,한화,0,20,L,1,2,0,0,23,0,0,6,8,2009
20090404005,봉중근,LG,1,50,L,4,3,2,1,112,8,0,21,25,2009
20090404005,경헌호,LG,0,01,L,0,0,1,1,5,2,0,3,3,2009
20090404005,류택현,LG,0,01,L,0,0,0,0,2,0,0,1,1,2009
20090404005,최동환,LG,0,11,L,0,0,0,0,14,0,0,4,4,2009
20090404005,정찬헌,LG,0,10,L,1,1,3,3,35,4,1,6,7,2009
20090404006,윤석민,KIA,1,50,L,4,3,6,6,97,8,0,22,25,2009
20090404006,유동훈,KIA,0,10,L,0,0,0,0,13,0,0,4,4,2009
20090404006,한기주,KIA,0,10,L,1,0,0,0,18,1,0,4,4,2009
20090404006,손영민,KIA,0,00,L,0,0,1,1,6,1,0,1,1,2009
20090404006,김영수,KIA,0,01,L,1,0,0,0,4,0,0,1,1,2009
20090404006,이범석,KIA,0,02,L,0,0,0,0,6,1,0,3,3,2009
20090405005,정재복,LG,1,40,L,2,0,5,5,74,7,1,19,19,2009
20090405005,류택현,LG,0,01,L,0,0,0,0,8,1,0,1,2,2009
20090405005,최동환,LG,0,12,L,0,2,0,0,19,0,0,4,6,2009
20090405005,김경태,LG,0,10,L,2,0,0,0,12,0,0,3,3,2009
20090405005,이재영,LG,0,10,L,0,1,0,0,13,0,0,2,4,2009
20090405006,양현종,KIA,1,42,L,7,2,2,2,94,5,1,19,21,2009
20090405006,손영민,KIA,0,22,L,1,0,0,0,26,0,0,8,8,2009
20090405006,로페즈,KIA,0,02,L,1,0,1,1,17,2,0,4,4,2009
20090405004,김혁민,한화,1,41,L,5,1,3,3,79,6,0,19,20,2009
20090405004,양훈,한화,0,20,L,2,1,0,0,33,1,0,7,8,2009
20090405004,송진우,한화,0,01,L,0,1,1,0,11,0,0,2,3,2009
20090405004,마정길,한화,0,02,L,2,0,0,0,14,0,0,2,2,2009
20090405004,윤규진,한화,0,02,L,0,0,1,0,12,1,0,4,4,2009
20090405008,김수경,우리,1,70,W,2,1,1,1,86,5,0,25,26,2009
20090405008,신철인,우리,0,10,L,2,0,0,0,10,0,0,3,3,2009
20090405008,황두성,우리,0,10,L,1,0,0,0,11,0,0,3,3,2009
20090407007,김광현,SK,1,70,W,8,2,3,2,97,5,1,24,26,2009
20090407007,정대현,SK,0,02,H,0,1,0,0,15,0,0,3,4,2009
20090407007,이승호,SK,0,11,L,2,1,0,0,14,0,0,3,4,2009
20090407003,크루세타,삼성,1,30,L,4,2,4,3,79,5,1,14,16,2009
20090407003,김상수,삼성,0,11,L,1,0,2,2,33,6,0,9,9,2009
20090407003,안지만,삼성,0,10,L,0,1,2,2,22,1,0,3,4,2009
20090407003,권혁,삼성,0,02,L,1,0,1,1,13,1,1,3,3,2009
20090407003,차우찬,삼성,0,10,L,1,1,0,0,21,0,0,3,4,2009
20090407003,오승환,삼성,0,10,L,1,1,1,1,24,2,1,5,6,2009
20090407002,조정훈,롯데,1,61,L,7,4,2,1,91,4,0,25,29,2009
20090407002,이정훈,롯데,0,00,L,0,0,0,0,1,1,0,1,1,2009
20090407002,강영식,롯데,0,12,L,3,0,1,1,30,1,1,6,6,2009
20090407001,김명제,두산,1,40,L,1,1,5,5,71,8,1,20,21,2009
20090407001,고창성,두산,0,40,L,3,0,1,0,39,2,0,13,13,2009
20090407001,이용찬,두산,0,10,L,0,0,1,0,21,2,0,6,6,2009
20090407001,이재우,두산,0,30,L,3,3,0,0,50,0,0,9,12,2009
20090408007,니코스키,SK,1,10,L,1,0,3,3,39,4,1,7,7,2009
20090408007,박현준,SK,0,22,L,1,1,3,2,55,6,0,12,13,2009
20090408007,정우람,SK,0,20,L,1,3,0,0,45,1,0,7,10,2009
20090408007,고효준,SK,0,11,L,3,0,0,0,20,0,0,5,5,2009
20090408007,가득염,SK,0,10,L,0,0,0,0,17,1,0,4,4,2009
20090408003,조진호,삼성,1,32,L,5,3,4,4,72,6,0,16,20,2009
20090408003,차우찬,삼성,0,21,L,3,2,0,0,37,0,0,6,8,2009
20090408003,조현근,삼성,0,20,L,0,1,1,1,30,2,1,7,9,2009
20090408002,이용훈,롯데,1,60,W,1,0,0,0,54,3,0,20,20,2009
20090408002,이정민,롯데,0,20,H,2,0,0,0,24,1,0,7,7,2009
20090408002,강영식,롯데,0,01,L,0,0,0,0,5,1,0,2,2,2009
20090408002,애킨스,롯데,0,02,L,0,1,0,0,12,0,0,2,3,2009
20090408001,김태영,두산,1,60,L,6,2,1,1,76,4,1,19,22,2009
20090408001,노경은,두산,0,02,L,1,2,2,2,28,2,0,4,6,2009
20090408001,성영훈,두산,0,11,L,2,1,0,0,17,0,0,4,5,2009
20090409007,채병용,SK,1,60,L,7,1,0,0,96,5,0,23,24,2009
20090409007,이승호,SK,0,12,L,3,1,1,1,34,1,0,6,7,2009
20090409007,정대현,SK,0,02,L,0,1,0,0,18,2,0,4,5,2009
20090409007,김원형,SK,0,32,L,2,2,1,1,46,4,0,13,15,2009
20090409003,배영수,삼성,1,50,L,3,1,7,2,57,5,3,18,22,2009
20090409003,김상수,삼성,0,10,L,1,1,1,1,23,1,0,4,5,2009
20090409003,안지만,삼성,0,10,L,2,0,0,0,11,0,0,3,3,2009
20090409003,오승환,삼성,0,10,L,1,1,1,1,36,1,1,4,5,2009
20090409002,장원준,롯데,1,31,L,3,1,5,5,65,9,0,17,20,2009
20090409002,배장호,롯데,0,20,L,1,1,0,0,29,1,0,6,7,2009
20090409002,김이슬,롯데,0,02,L,0,0,1,1,17,2,0,4,4,2009
20090409002,이정훈,롯데,0,20,L,2,0,0,0,26,1,0,6,6,2009
20090409001,김선우,두산,1,52,W,4,2,1,1,84,5,1,22,24,2009
20090409001,고창성,두산,0,11,L,2,0,1,1,20,2,0,6,6,2009
20090409001,성영훈,두산,0,10,L,0,0,0,0,15,0,0,3,3,2009
20090409001,진야곱,두산,0,10,L,1,1,0,0,20,1,0,4,5,2009
20090410007,고효준,SK,1,60,W,11,2,2,1,101,2,0,20,23,2009
20090410007,존슨,SK,0,00,L,0,1,2,2,13,2,0,2,3,2009
20090410007,이승호,SK,0,10,L,2,2,0,0,27,0,0,2,5,2009
20090410007,정우람,SK,0,10,L,0,0,0,0,14,0,0,3,3,2009
20090410007,이승호,SK,0,10,L,1,0,0,0,11,1,0,3,3,2009
20090410003,윤성환,삼성,1,62,W,4,0,1,1,97,5,1,25,25,2009
20090410003,정현욱,삼성,0,10,H,1,0,1,1,20,3,0,5,5,2009
20090410003,권혁,삼성,0,01,H,0,0,0,0,4,0,0,0,0,2009
20090410003,오승환,삼성,0,10,L,3,0,0,0,18,0,0,4,4,2009
20090410001,정재훈,두산,1,51,L,4,1,2,2,95,8,1,22,24,2009
20090410001,이재우,두산,0,12,L,0,0,2,2,30,3,2,7,7,2009
20090410001,고창성,두산,0,10,H,0,1,0,0,9,0,0,3,4,2009
20090410001,이용찬,두산,0,01,L,1,1,4,3,27,2,1,4,5,2009
20090410002,송승준,롯데,1,40,L,2,6,8,6,78,8,2,19,26,2009
20090410002,김일엽,롯데,0,30,L,1,3,0,0,56,2,0,9,12,2009
20090410002,이정민,롯데,0,10,L,1,0,0,0,23,1,0,4,4,2009
20090411007,송은범,SK,1,60,W,4,1,1,0,98,4,0,22,23,2009
20090411007,정우람,SK,0,00,L,0,0,1,1,2,1,0,1,1,2009
20090411007,김원형,SK,0,20,L,1,1,0,0,30,2,0,7,8,2009
20090411007,이승호,SK,0,10,L,0,0,1,1,12,2,0,5,5,2009
20090411003,에르난데스,삼성,1,30,L,1,1,0,0,31,2,0,10,11,2009
20090411003,안지만,삼성,0,20,L,1,0,1,1,30,2,1,8,8,2009
20090411003,권혁,삼성,0,02,L,1,1,0,0,10,0,0,2,3,2009
20090411003,정현욱,삼성,0,21,L,4,2,0,0,35,1,0,8,10,2009
20090411003,최원제,삼성,0,02,L,0,1,0,0,12,1,0,2,3,2009
20090411003,차우찬,삼성,0,01,W,0,0,0,0,4,0,0,1,1,2009
