idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20080329006,KIA,-1,0,0,0,0,3,0,0,0,0,-,-,-,-,-,-,-,-,-,3,6,0,6,2008,3,29,5,삼성,KIA,0,시민,12000,14:06,17:27,3:21
20080329003,삼성,1,2,0,0,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,4,12,0,3,2008,3,29,5,삼성,KIA,0,시민,12000,14:06,17:27,3:21
20080329005,LG,-1,0,1,3,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,4,10,0,3,2008,3,29,5,SK,LG,0,문학,11601,14:06,18:30,4:13
20080329007,SK,1,0,0,1,0,3,0,0,0,0,0,1,-,-,-,-,-,-,-,5,11,0,5,2008,3,29,5,SK,LG,0,문학,11601,14:06,18:30,4:13
20080329002,롯데,1,1,1,0,1,0,4,1,3,0,-,-,-,-,-,-,-,-,-,11,16,1,7,2008,3,29,5,한화,롯데,0,대전,10500,13:59,17:15,3:16
20080329004,한화,-1,0,0,0,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,1,6,1,3,2008,3,29,5,한화,롯데,0,대전,10500,13:59,17:15,3:16
20080330006,KIA,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,3,2008,3,30,6,삼성,KIA,0,시민,5683,14:03,17:11,3:08
20080330003,삼성,1,0,0,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,3,4,0,9,2008,3,30,6,삼성,KIA,0,시민,5683,14:03,17:11,3:08
20080330008,우리,-1,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,1,11,2,2,2008,3,30,6,두산,우리,0,잠실,12592,14:04,17:13,3:09
20080330001,두산,1,0,2,0,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,4,5,0,6,2008,3,30,6,두산,우리,0,잠실,12592,14:04,17:13,3:09
20080330005,LG,1,0,2,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,7,0,5,2008,3,30,6,SK,LG,0,문학,18362,15:02,18:18,3:16
20080330007,SK,-1,0,0,0,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,1,5,0,3,2008,3,30,6,SK,LG,0,문학,18362,15:02,18:18,3:16
20080401004,한화,-1,0,1,0,1,3,0,0,0,0,-,-,-,-,-,-,-,-,-,5,15,0,5,2008,4,1,1,우리,한화,0,목동,4833,18:32,22:26,3:54
20080401008,우리,1,0,0,3,0,1,0,0,0,2,-,-,-,-,-,-,-,-,-,6,14,1,7,2008,4,1,1,우리,한화,0,목동,4833,18:32,22:26,3:54
20080401001,두산,1,1,0,0,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,3,8,0,4,2008,4,1,1,KIA,두산,0,무등,13400,18:31,21:59,3:28
20080401006,KIA,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,5,1,6,2008,4,1,1,KIA,두산,0,무등,13400,18:31,21:59,3:28
20080401007,SK,-1,1,0,0,2,0,1,0,0,0,-,-,-,-,-,-,-,-,-,4,12,0,4,2008,4,1,1,롯데,SK,0,사직,30000,18:32,21:56,3:24
20080401002,롯데,1,8,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,8,12,1,4,2008,4,1,1,롯데,SK,0,사직,30000,18:32,21:56,3:24
20080401003,삼성,1,0,0,1,0,0,0,0,1,0,4,-,-,-,-,-,-,-,-,6,9,0,11,2008,4,1,1,LG,삼성,0,잠실,18629,19:01,22:56,3:55
20080401005,LG,-1,0,0,0,0,1,0,1,0,0,0,-,-,-,-,-,-,-,-,2,3,0,2,2008,4,1,1,LG,삼성,0,잠실,18629,19:01,22:56,3:55
20080402004,한화,-1,0,0,0,0,0,1,0,0,3,-,-,-,-,-,-,-,-,-,4,5,0,3,2008,4,2,2,우리,한화,0,목동,1468,18:31,21:08,2:37
20080402008,우리,1,1,0,1,0,3,0,0,0,-,-,-,-,-,-,-,-,-,-,5,6,0,5,2008,4,2,2,우리,한화,0,목동,1468,18:31,21:08,2:37
20080402001,두산,-1,0,0,0,0,0,0,0,2,0,-,-,-,-,-,-,-,-,-,2,3,0,2,2008,4,2,2,KIA,두산,0,무등,4240,18:30,21:23,2:53
20080402006,KIA,1,2,0,0,2,1,0,0,1,-,-,-,-,-,-,-,-,-,-,6,11,1,6,2008,4,2,2,KIA,두산,0,무등,4240,18:30,21:23,2:53
20080402003,삼성,1,0,0,0,0,2,0,2,0,1,-,-,-,-,-,-,-,-,-,5,10,1,7,2008,4,2,2,LG,삼성,0,잠실,6532,18:29,22:27,3:58
20080402005,LG,-1,0,0,1,0,0,1,2,0,0,-,-,-,-,-,-,-,-,-,4,5,1,9,2008,4,2,2,LG,삼성,0,잠실,6532,18:29,22:27,3:58
20080402007,SK,-1,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,2,8,0,0,2008,4,2,2,롯데,SK,0,사직,12333,18:32,21:16,2:44
20080402002,롯데,1,2,0,0,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,6,10,1,2,2008,4,2,2,롯데,SK,0,사직,12333,18:32,21:16,2:44
20080403004,한화,-1,0,0,1,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,5,0,4,2008,4,3,3,우리,한화,0,목동,2076,18:31,22:04,3:33
20080403008,우리,1,0,0,2,0,0,2,1,0,-,-,-,-,-,-,-,-,-,-,5,8,1,6,2008,4,3,3,우리,한화,0,목동,2076,18:31,22:04,3:33
20080403001,두산,-1,2,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,11,2,5,2008,4,3,3,KIA,두산,0,무등,4622,18:30,22:04,3:34
20080403006,KIA,1,0,0,0,4,0,0,2,0,-,-,-,-,-,-,-,-,-,-,6,9,0,0,2008,4,3,3,KIA,두산,0,무등,4622,18:30,22:04,3:34
20080403003,삼성,1,0,0,2,3,0,0,2,0,0,-,-,-,-,-,-,-,-,-,7,10,0,5,2008,4,3,3,LG,삼성,0,잠실,8589,18:29,21:30,3:01
20080403005,LG,-1,0,0,0,1,0,1,0,0,0,-,-,-,-,-,-,-,-,-,2,8,0,1,2008,4,3,3,LG,삼성,0,잠실,8589,18:29,21:30,3:01
20080403007,SK,1,0,0,0,2,1,2,0,0,0,-,-,-,-,-,-,-,-,-,5,4,1,8,2008,4,3,3,롯데,SK,0,사직,19868,18:31,21:41,3:10
20080403002,롯데,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,8,2,2,2008,4,3,3,롯데,SK,0,사직,19868,18:31,21:41,3:10
