idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum,year
20130321002,송승준,롯데,1,60,L,6,0,1,1,80,7,0,24,24,2013
20130321002,김사율,롯데,0,02,L,0,2,5,5,30,4,0,5,8,2013
20130321002,진명호,롯데,0,11,L,1,1,0,0,14,0,0,4,5,2013
20130321001,노경은,두산,1,60,L,8,3,5,4,94,6,0,21,24,2013
20130321001,홍상삼,두산,0,10,L,0,2,2,2,25,2,0,4,7,2013
20130321001,변시원,두산,0,10,L,0,0,0,0,13,2,0,4,4,2013
20130321003,장원삼,삼성,1,30,L,4,1,0,0,35,1,0,10,11,2013
20130321003,안지만,삼성,0,10,L,1,1,1,1,24,2,0,5,6,2013
20130321003,차우찬,삼성,0,30,L,1,2,5,5,51,3,2,12,14,2013
20130321003,신용운,삼성,0,10,L,2,1,0,0,14,1,0,3,4,2013
20130321006,서재응,KIA,1,60,W,4,2,2,2,94,5,0,23,25,2013
20130321006,손동욱,KIA,0,10,L,0,1,0,0,11,0,0,3,4,2013
20130321006,박준표,KIA,0,10,L,0,0,0,0,5,0,0,3,3,2013
20130321006,진해수,KIA,0,10,L,2,0,1,1,19,2,0,5,5,2013
20130322002,홍성민,롯데,1,32,L,2,0,2,2,65,8,0,18,19,2013
20130322002,정태승,롯데,0,01,L,0,1,0,0,9,0,0,1,2,2013
20130322002,강승현,롯데,0,11,L,1,2,0,0,17,0,0,3,5,2013
20130322002,강영식,롯데,0,10,L,1,1,0,0,12,0,0,3,4,2013
20130322002,김성배,롯데,0,11,L,1,0,0,0,9,0,0,3,3,2013
20130322002,정대현,롯데,0,01,L,0,0,0,0,5,0,0,1,1,2013
20130322001,김태영,두산,1,40,L,1,1,1,1,37,2,1,13,14,2013
20130322001,이재우,두산,0,12,L,0,1,0,0,17,1,0,5,6,2013
20130322001,변시원,두산,0,01,L,0,0,0,0,6,0,0,1,1,2013
20130322001,윤명준,두산,0,10,L,1,1,2,2,24,4,0,5,6,2013
20130322001,김강률,두산,0,10,L,0,3,0,0,25,1,0,3,6,2013
20130322003,로드리게스,삼성,1,40,L,2,3,5,5,72,8,0,19,22,2013
20130322003,백정현,삼성,0,20,L,1,0,0,0,28,2,0,7,7,2013
20130322003,심창민,삼성,0,10,L,1,0,3,3,21,4,0,7,7,2013
20130322003,권혁,삼성,0,10,L,2,1,0,0,22,0,0,4,5,2013
20130322006,양현종,KIA,1,60,W,9,0,1,1,93,3,0,21,21,2013
20130322006,이대환,KIA,0,10,L,0,0,0,0,14,1,0,4,4,2013
20130322006,유동훈,KIA,0,10,L,2,0,0,0,18,0,0,3,3,2013
20130322006,앤서니,KIA,0,10,L,1,0,0,0,12,0,0,3,3,2013
20130323001,이혜천,두산,1,30,L,2,0,0,0,45,2,0,11,11,2013
20130323001,유희관,두산,0,20,L,0,1,2,0,32,1,0,7,9,2013
20130323001,이재우,두산,0,10,L,0,1,0,0,20,2,0,4,5,2013
20130323001,윤명준,두산,0,10,L,1,0,0,0,8,0,0,3,3,2013
20130323001,정재훈,두산,0,10,W,0,0,0,0,6,0,0,3,3,2013
20130323001,김강률,두산,0,10,L,1,2,0,0,21,0,0,3,5,2013
20130323009,이재학,NC,1,50,L,3,2,0,0,55,3,0,17,19,2013
